Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
224,Temporal,1243,3,4,1,800,5,5,1,r,r,0,1200,0,800,S,=,L,0.286928860758756,0.305014548597255,1.94094663567126,1.57519245774861,1.17447916354329,698118.667062537,698118.964986645,698118.964986645,698121.364724376,2.4,698123.345067269,698123.345067269,698124.944927803,1.6,698126.667126786,698127.30312981,0.636003024526872,66,Shorter,Index,66,S,Index
224,Temporal,1243,3,4,2,1200,10,7.5,1,m,m,-800,0,-800,400,=,L,S,0.351423497583241,0.328136586971481,1.89112923673591,1.22751928907228,1.74092089975789,698128.617204748,698128.985338655,698128.985338655,698129.785192709,0.8,698131.705335472,698131.705335472,698133.305114844,1.6,698134.68386487,698135.239104115,0.555239244597033,78,Longer,Middle,78,L,Middle
224,Temporal,1243,3,4,3,400,1.25,1.25,2,r,r,0,400,0,400,=,L,S,0.406969000422404,0.261702287932515,1.05807826597307,1.04317153053425,1.89119491950192,698137.133871383,698137.555444834,698137.555444834,698140.755036985,3.2,698141.845299851,698141.845299851,698145.04533503,3.2,698146.250564451,698146.727220961,0.476656510028988,66,Equals to,Index,66,=,Index
224,Temporal,1243,3,4,4,800,2.5,3.33333333333333,1,l,l,-1600,-1200,-1600,-800,=,L,S,0.384643966837672,0.25728066322953,1.27053275538876,1.28310439719337,1.85434405414436,698148.767354595,698149.165657378,698149.165657378,698150.76548904,1.6,698152.065406062,698152.065406062,698154.465319272,2.4,698155.900636343,698156.470950081,0.570313738076948,78,Longer,Middle,78,L,Middle
224,Temporal,1243,3,4,5,400,1.66666666666667,1.25,2,l,l,-1600,-1200,-1600,-1200,=,L,S,0.248426451998699,0.206541977926797,1.17213137812934,1.91063902509344,1.47915229279347,698158.467392385,698158.735493763,698158.735493763,698161.135381629,2.4,698162.335725189,698162.335725189,698165.53562499,3.2,698167.600715838,698168.063154396,0.462438558344729,78,Longer,Middle,78,L,Middle
224,Temporal,1243,3,4,6,800,1.25,3.33333333333333,1,m,m,-800,-400,-800,0,=,L,S,0.491372460105705,0.394253804263782,1.78911737270571,1.92447463863932,1.85982065346508,698169.700752859,698170.205939864,698170.205939864,698173.405525599,3.2,698175.225813237,698175.225813237,698177.62562764,2.4,698179.684131457,698180.223127847,0.538996389717795,77,Shorter,Ring,77,S,Ring
224,Temporal,1243,3,4,7,1200,20,7.5,1,l,l,-1600,0,-1600,-400,=,L,S,0.45039819721072,0.292814193439297,1.75789754295176,1.25536168681455,1.28735746208675,698182.234218298,698182.695903247,698182.695903247,698183.495745753,0.8,698185.286029085,698185.286029085,698186.88593774,1.6,698188.284184839,698188.895197784,0.611012945650145,78,Longer,Middle,78,L,Middle
224,Temporal,1243,3,4,8,400,3.33333333333333,1.25,2,r,r,0,800,0,400,L,S,=,0.264580413595086,0.492241131543431,1.11491095157892,1.86484880802214,1.93335516158638,698190.334269755,698190.616051099,698190.616051099,698193.015975216,2.4,698194.166223594,698194.166223594,698197.36602972,3.2,698199.384261959,698199.879214779,0.494952819659375,66,Longer,Index,66,L,Index
224,Temporal,1243,3,4,9,1200,10,7.5,1,l,l,-1600,-800,-1600,-400,S,=,L,0.469446280302383,0.273220424139846,1.24066366366796,1.7869770890003,1.82087829713988,698201.967677258,698202.456224255,698202.456224255,698203.256079913,0.8,698204.526240609,698204.526240609,698206.126076442,1.6,698208.050998561,698208.839005757,0.788007196271792,77,Longer,Ring,77,L,Ring
224,Temporal,1243,3,4,10,800,15,5,1,m,m,-800,400,-800,0,S,=,L,0.257400973729914,0.466448138886616,1.41912043719353,1.66014354934725,1.1264351819296,698210.801083092,698211.076457375,698211.076457375,698211.876341906,0.8,698213.316436639,698213.316436639,698214.916322837,1.6,698216.73443516,698219.574987184,2.84055202349555,77,Longer,Ring,77,L,Ring
