Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
215,Temporal,2314,2,0,1,1200,6.66666666666667,7.5,1,m,m,-800,800,-800,400,=,L,S,0.361937300682965,0.465895900134408,1.13607531969165,1.38504036551783,1.23474336321948,21839.2736686229,21839.6469905421,21839.6469905421,21842.0475796824,2.4,21843.2078736591,21843.2078736591,21844.8077348352,1.6,21846.3403762239,21847.0417036391,0.701327415175911,77,Shorter,Ring,77,S,Ring
215,Temporal,2314,2,0,2,1600,3.75,5,2,m,m,-800,400,-800,800,L,S,=,0.447824797862188,0.300346255500032,1.36723129437403,1.79443653844677,1.43677181461739,21848.4237889558,21848.8877823973,21848.8877823973,21852.0878178973,3.2,21853.4879438891,21853.4879438891,21856.6878366321,3.2,21858.6404616215,21859.4097150443,0.769253422797192,77,Equals to,Ring,77,=,Ring
215,Temporal,2314,2,0,3,800,1.66666666666667,5,1,l,l,-1600,-1200,-1600,-800,S,=,L,0.449577775479014,0.38600996320238,1.85373730605397,1.07917358641584,1.6721960362349,21860.990520617,21861.4581692783,21861.4581692783,21863.8581363833,2.4,21865.7381500045,21865.7381500045,21867.3380817571,1.6,21868.5738929278,21869.6576736197,1.08378069194441,66,Shorter,Index,78,=,Middle
215,Temporal,2314,2,0,4,800,1.25,3.33333333333333,1,m,m,-800,-400,-800,0,L,S,=,0.421779471293864,0.392649444020404,1.55739071838856,1.28792738821311,1.8589917100804,21871.4739428446,21871.9083150187,21871.9083150187,21875.1083251753,3.2,21876.6983881809,21876.6983881809,21879.0981121178,2.4,21880.5239385779,21881.1057129732,0.581774395239336,78,Shorter,Middle,78,S,Middle
215,Temporal,2314,2,0,5,1200,2.5,5,1,l,l,-1600,-800,-1600,-400,=,L,S,0.416415381386211,0.403565368406363,1.22400273419476,1.06730060225591,1.10044449754589,21883.123986185,21883.5583686248,21883.5583686248,21886.7582671422,3.2,21888.0184868211,21888.0184868211,21890.4183881616,2.4,21891.6406970903,21892.2576994122,0.61700232196381,77,Shorter,Ring,77,S,Ring
215,Temporal,2314,2,0,6,800,15,5,1,m,m,-800,400,-800,0,=,L,S,0.497916432187361,0.474761868650229,1.79688485864834,1.8456394778747,1.1808096104872,21893.5074050762,21894.0186562047,21894.0186562047,21894.8185253366,0.8,21896.6485948737,21896.6485948737,21898.248460541,1.6,21900.2403238049,21900.8896819118,0.649358106958971,78,Longer,Middle,78,L,Middle
215,Temporal,2314,2,0,7,1600,5,5,2,l,l,-1600,0,-1600,0,L,S,=,0.471673175391661,0.361245208291251,1.04668611419646,1.55495617445945,1.88364329019471,21902.2241348447,21902.7088113638,21902.7088113638,21905.9087214302,3.2,21906.9889893834,21906.9889893834,21910.1885395097,3.2,21911.8908178723,21912.4338419331,0.543024060803873,77,Equals to,Ring,66,L,Index
215,Temporal,2314,2,0,8,800,3.75,3.33333333333333,1,l,l,-1600,-400,-1600,-800,S,=,L,0.379102468964929,0.390312519310914,1.32330980570174,1.67004499444769,1.15844121065999,21914.4742315665,21914.8690061677,21914.8690061677,21918.0689239333,3.2,21919.4290824673,21919.4290824673,21921.8289863742,2.4,21923.6408979124,21924.1858689215,0.544971009108849,66,Shorter,Index,66,S,Index
215,Temporal,2314,2,0,9,1200,5,5,1,r,r,0,800,0,1200,L,S,=,0.326405337959713,0.469851810904796,1.80298024259124,1.46270441277469,1.18639103922838,21925.4909504919,21925.8291253265,21925.8291253265,21927.4289605176,1.6,21929.259285734,21929.259285734,21931.6591623727,2.4,21933.2743664071,21933.8417492572,0.567382850087597,66,Longer,Index,77,=,Ring
215,Temporal,2314,2,0,10,1600,10,20,2,l,l,-1600,0,-1600,0,S,=,L,0.206949596430258,0.383013840685971,1.85014130078245,1.79848035100661,1.24688502183457,21935.1743582192,21935.3991606083,21935.3991606083,21936.9990217844,1.6,21938.8694190401,21938.8694190401,21939.6692272197,0.8,21941.6243843005,21942.161726955,0.537342654559325,66,Shorter,Index,66,S,Index
