Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
227,Spatial,1243,1,0,1,1200,6.66666666666667,7.5,1,m,m,-800,800,-800,400,S,=,L,0.313747806059193,0.272573135424396,1.56156134355073,1.70169740558499,1.88558403513374,783549.015690754,783549.340565773,783549.340565773,783551.742668137,2.4,783553.343178386,783553.343178386,783554.942687642,1.6,783556.799079716,783557.450696237,0.651616520714015,66,Shorter,Index,78,=,Middle
227,Spatial,1243,1,0,2,400,10,5,2,m,m,-800,0,-800,-400,=,L,S,0.486902441405962,0.413744817535758,1.0570905662395,1.62383539649719,1.03218762253266,783559.482429345,783559.9829891,783559.9829891,783560.783021199,0.8,783561.873150611,783561.873150611,783562.673032896,0.8,783564.432491677,783565.354515579,0.922023902297951,77,Shorter,Ring,77,S,Ring
227,Spatial,1243,1,0,3,800,7.5,3.33333333333333,1,r,r,0,1200,0,800,S,=,L,0.407780358973276,0.286200034206779,1.39819878273949,1.69900812194901,1.21611359939721,783566.549123472,783566.973153626,783566.973153626,783568.572933319,1.6,783569.993349085,783569.993349085,783572.393250104,2.4,783574.249158376,783574.914813232,0.665654856595211,66,Shorter,Index,77,L,Ring
227,Spatial,1243,1,0,4,400,2.5,5,2,l,l,-1600,-1200,-1600,-1200,L,S,=,0.247572278516731,0.437126203050775,1.5097471447665,1.70122942302985,1.66122195741216,783576.29919838,783576.563448527,783576.563448527,783578.163262866,1.6,783579.70356272,783579.70356272,783580.503030207,0.8,783582.349214323,783583.07461762,0.725403296411969,77,Equals to,Ring,78,S,Middle
227,Spatial,1243,1,0,5,1200,2.5,5,1,m,m,-800,0,-800,400,S,=,L,0.324604282890866,0.458261300187776,1.2599923819623,1.75152191118207,1.6581123938702,783584.915922245,783585.253522844,783585.253522844,783588.453391527,3.2,783589.743490398,783589.743490398,783592.143338165,2.4,783594.049289006,783594.514935907,0.465646900818683,77,Longer,Ring,77,L,Ring
227,Spatial,1243,1,0,6,1200,6.66666666666667,7.5,1,l,l,-1600,0,-1600,-400,L,S,=,0.237711181371805,0.358876149554188,1.58016971658726,1.49398127442633,1.89596849016833,783596.316048834,783596.573738898,783596.573738898,783598.973498444,2.4,783600.573570477,783600.573570477,783602.173418179,1.6,783603.816013546,783604.386723154,0.570709608029574,78,Shorter,Middle,78,S,Middle
227,Spatial,1243,1,0,7,1200,5,5,1,l,l,-1600,0,-1600,-400,=,L,S,0.411210187272221,0.374071338373551,1.02669846470896,1.98348231459167,1.06294057287314,783606.432742865,783606.863780942,783606.863780942,783610.063563008,3.2,783611.123908827,783611.123908827,783613.523696283,2.4,783615.649412002,783616.322715103,0.673303100978956,77,Shorter,Ring,66,=,Index
227,Spatial,1243,1,0,8,800,5,5,1,m,m,-800,400,-800,0,=,L,S,0.255901558898202,0.40171967135645,1.34885104562436,1.2832407661703,1.16519458848709,783617.549465447,783617.824120492,783617.824120492,783620.223938745,2.4,783621.594231098,783621.594231098,783623.193707312,1.6,783624.632821397,783625.338828354,0.706006956286728,77,Shorter,Ring,77,S,Ring
227,Spatial,1243,1,0,9,800,15,5,1,m,m,-800,400,-800,0,L,S,=,0.322396439067572,0.442330475427347,1.82504828942291,1.05127819314351,1.93125594577949,783626.666186105,783627.004089541,783627.004089541,783627.803839335,0.8,783629.654299699,783629.654299699,783631.254105055,1.6,783632.449554823,783632.930709942,0.481155118672177,78,Shorter,Middle,66,L,Index
227,Spatial,1243,1,0,10,800,5,5,1,m,m,-800,-400,-800,0,S,=,L,0.332568755267897,0.470790979758006,1.38343939878195,1.97368847056307,1.13233439138526,783635.016232589,783635.364186115,783635.364186115,783636.164006806,0.8,783637.584319274,783637.584319274,783639.184141312,1.6,783641.299584305,783641.82673732,0.52715301560238,77,Longer,Ring,77,L,Ring
227,Spatial,1243,1,0,11,1200,2.5,5,1,r,r,0,800,0,1200,=,L,S,0.433784940370464,0.393275427855774,1.66606701596695,1.16815367558169,1.32919807402458,783643.116328317,783643.564551445,783643.564551445,783646.764307526,3.2,783648.464370063,783648.464370063,783650.864169389,2.4,783652.183007045,783652.914771849,0.731764803291298,78,Longer,Middle,66,=,Index
227,Spatial,1243,1,0,12,400,1.25,1.25,2,l,l,-1600,-1200,-1600,-1200,L,S,=,0.375890954290531,0.415966863900076,1.38005887178858,1.36369400161659,1.33654401583506,783654.39968741,783654.79466123,783654.79466123,783657.994223226,3.2,783659.414659523,783659.414659523,783662.614425549,3.2,783664.133054941,783664.786788148,0.65373320679646,77,Equals to,Ring,66,L,Index
227,Spatial,1243,1,0,13,1200,10,5,1,l,l,-1600,0,-1600,-400,S,=,L,0.3272965844598,0.440521366607137,1.31764891381585,1.04732793727336,1.4278389109572,783666.299783523,783666.644712205,783666.644712205,783668.244554133,1.6,783669.594581735,783669.594581735,783671.994509702,2.4,783673.19977762,783674.370810725,1.17103310488164,66,Shorter,Index,78,=,Middle
