Vis_Standard_Dur,Vis_Probe_Dur,Vis_Standard_Dist,Vis_Probe_Dist,Aud_Standard_Dur,Aud_Probe_Dur,Aud_Standard_Dist,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control
400,800,4,8,800,1600,400,800,5,5,1
400,800,8,12,800,1600,800,1200,10,7.5,1
400,800,12,8,800,1600,1200,800,15,5,1
400,800,16,12,800,1600,1600,1200,20,7.5,1
800,1200,4,8,1600,2400,400,800,2.5,3.33333333333333,1
800,1200,8,12,1600,2400,800,1200,5,5,1
800,1200,12,8,1600,2400,1200,800,7.5,3.33333333333333,1
800,1200,16,12,1600,2400,1600,1200,10,5,1
1200,800,12,8,2400,1600,1200,800,5,5,1
1200,800,16,12,2400,1600,1600,1200,6.66666666666667,7.5,1
1200,800,4,8,2400,1600,400,800,1.66666666666667,5,1
1200,800,8,12,2400,1600,800,1200,3.33333333333333,7.5,1
1600,1200,12,8,3200,2400,1200,800,3.75,3.33333333333333,1
1600,1200,16,12,3200,2400,1600,1200,5,5,1
1600,1200,4,8,3200,2400,400,800,1.25,3.33333333333333,1
1600,1200,8,12,3200,2400,800,1200,2.5,5,1
400,400,4,4,800,800,400,400,5,5,2
400,400,16,16,800,800,1600,1600,20,20,2
400,400,12,16,800,800,1200,1600,15,20,2
400,400,8,4,800,800,800,400,10,5,2
1200,1600,12,16,2400,3200,1200,1600,5,5,2
1200,1600,8,4,2400,3200,800,400,3.33333333333333,1.25,2
1200,1600,4,4,2400,3200,400,400,1.66666666666667,1.25,2
1200,1600,16,16,2400,3200,1600,1600,6.66666666666667,5,2
800,400,8,4,1600,800,800,400,5,5,2
800,400,12,16,1600,800,1200,1600,7.5,20,2
800,400,4,4,1600,800,400,400,2.5,5,2
800,400,16,16,1600,800,1600,1600,10,20,2
1600,1600,4,4,3200,3200,400,400,1.25,1.25,2
1600,1600,16,16,3200,3200,1600,1600,5,5,2
1600,1600,12,16,3200,3200,1200,1600,3.75,5,2
1600,1600,8,4,3200,3200,800,400,2.5,1.25,2
