Duration_ms,Distance_cm,StartPt,EndPt,Velocity,StartDeg,EndDeg,AngleChange,AngleVelocity
800,400,-1600,-1200,5,78.5180086452519,74.8459319496874,3.6720766955645,4.59009586945562
800,800,-1600,-800,10,78.5180086452519,67.8905516562483,10.6274569890036,13.2843212362545
800,1200,-1600,-400,15,78.5180086452519,50.9061411137705,27.6118675314814,34.5148344143517
800,1600,-1600,0,20,78.5180086452519,0,78.5180086452519,98.1475108065649
1600,400,-1600,-1200,2.5,78.5180086452519,74.8459319496874,3.6720766955645,2.29504793472781
1600,800,-1600,-800,5,78.5180086452519,67.8905516562483,10.6274569890036,6.64216061812724
1600,1200,-1600,-400,7.5,78.5180086452519,50.9061411137705,27.6118675314814,17.2574172071759
1600,1600,-1600,0,10,78.5180086452519,0,78.5180086452519,49.0737554032824
2400,400,-1600,-1200,1.66666666666667,78.5180086452519,74.8459319496874,3.6720766955645,1.53003195648521
2400,800,-1600,-800,3.33333333333333,78.5180086452519,67.8905516562483,10.6274569890036,4.42810707875149
2400,1200,-1600,-400,5,78.5180086452519,50.9061411137705,27.6118675314814,11.5049448047839
2400,1600,-1600,0,6.66666666666667,78.5180086452519,0,78.5180086452519,32.7158369355216
3200,400,-1600,-1200,1.25,78.5180086452519,74.8459319496874,3.6720766955645,1.14752396736391
3200,800,-1600,-800,2.5,78.5180086452519,67.8905516562483,10.6274569890036,3.32108030906362
3200,1200,-1600,-400,3.75,78.5180086452519,50.9061411137705,27.6118675314814,8.62870860358794
3200,1600,-1600,0,5,78.5180086452519,0,78.5180086452519,24.5368777016412
800,400,-800,-400,5,67.8905516562483,50.9061411137705,16.9844105424778,21.2305131780973
800,800,-800,0,10,67.8905516562483,0,67.8905516562483,84.8631895703104
800,1200,-800,400,15,67.8905516562483,50.9061411137705,16.9844105424778,21.2305131780973
800,1600,-800,800,20,67.8905516562483,67.8905516562483,0,0
1600,400,-800,-400,2.5,67.8905516562483,50.9061411137705,16.9844105424778,10.6152565890486
1600,800,-800,0,5,67.8905516562483,0,67.8905516562483,42.4315947851552
1600,1200,-800,400,7.5,67.8905516562483,50.9061411137705,16.9844105424778,10.6152565890486
1600,1600,-800,800,10,67.8905516562483,67.8905516562483,0,0
2400,400,-800,-400,1.66666666666667,67.8905516562483,50.9061411137705,16.9844105424778,7.07683772603243
2400,800,-800,0,3.33333333333333,67.8905516562483,0,67.8905516562483,28.2877298567701
2400,1200,-800,400,5,67.8905516562483,50.9061411137705,16.9844105424778,7.07683772603243
2400,1600,-800,800,6.66666666666667,67.8905516562483,67.8905516562483,0,0
3200,400,-800,-400,1.25,67.8905516562483,50.9061411137705,16.9844105424778,5.30762829452432
3200,800,-800,0,2.5,67.8905516562483,0,67.8905516562483,21.2157973925776
3200,1200,-800,400,3.75,67.8905516562483,50.9061411137705,16.9844105424778,5.30762829452432
3200,1600,-800,800,5,67.8905516562483,67.8905516562483,0,0
800,400,0,400,5,0,50.9061411137705,50.9061411137705,63.6326763922131
800,800,0,800,10,0,67.8905516562483,67.8905516562483,84.8631895703104
800,1200,0,1200,15,0,74.8459319496874,74.8459319496874,93.5574149371093
800,1600,0,1600,20,0,78.5180086452519,78.5180086452519,98.1475108065649
1600,400,0,400,2.5,0,50.9061411137705,50.9061411137705,31.8163381961066
1600,800,0,800,5,0,67.8905516562483,67.8905516562483,42.4315947851552
1600,1200,0,1200,7.5,0,74.8459319496874,74.8459319496874,46.7787074685546
1600,1600,0,1600,10,0,78.5180086452519,78.5180086452519,49.0737554032824
2400,400,0,400,1.66666666666667,0,50.9061411137705,50.9061411137705,21.2108921307377
2400,800,0,800,3.33333333333333,0,67.8905516562483,67.8905516562483,28.2877298567701
2400,1200,0,1200,5,0,74.8459319496874,74.8459319496874,31.1858049790364
2400,1600,0,1600,6.66666666666667,0,78.5180086452519,78.5180086452519,32.7158369355216
3200,400,0,400,1.25,0,50.9061411137705,50.9061411137705,15.9081690980533
3200,800,0,800,2.5,0,67.8905516562483,67.8905516562483,21.2157973925776
3200,1200,0,1200,3.75,0,74.8459319496874,74.8459319496874,23.3893537342773
3200,1600,0,1600,5,0,78.5180086452519,78.5180086452519,24.5368777016412
